id,name,alcohol_by_volume,age,distillery_id,bottler_id,type_id
1433,Charbay: Bourbon Crusaders Selection,73.50,NAS,200,72,3
1434,Parkers Heritage Collection Release #9 – 8yr Malt Whiskey,54.00,8 Years,28,152,1
1435,Clynelish 29yr SMWS 26.105 – Bumblebees by the Sea,57.60,29 Years,136,289,9
1436,Glendronach 24yr Single Cask PX,55.00,24 Years,77,133,9
1437,Knob Creek Single Barrel Reserve 12yr Binnys Selection,60.00,12 Years,5,27,3
1438,Compass Box 3yr Deluxe,49.20,3 Years,62,85,9
1439,Bruichladdich The Laddie 16yr,46.00,16 Years,8,50,9
1440,Henry McKenna 10 Year Single Barrel Bottled in Bond Liquor Barn Selection,50.00,10 Years,28,152,3
1441,Aberlour A’Bunadh Batch 53,59.70,NAS,130,4,9
1442,High Wests Midwinter Nights Dram Act 2 Scene 2,49.30,NAS,62,157,8
1443,Old Bardstown Bottled in Bond,50.00,NAS,65,356,3
1444,Pikesville Rye 110 proof,55.00,6 Years,225,152,8
1445,Ledaig 9yr Signatory Vintage 2005 First Fill Sherry,56.00,9 Years,56,283,9
1446,High West Rendezvous Rye Ex-Boulevardier Finish Binnys Selection,50.00,NAS,62,157,8
1447,Eagle Rare 10yr Premier Wine and Spirits Selection,45.00,10 Years,9,52,3
1448,Strathclyde 26yr,55.10,26 Years,226,307,9
1449,Laphroaig Triple Wood,48.00,NAS,37,206,9
1450,Smooth Ambler Old Scout 10yr Limited Edition Gift Shop Rye,62.20,10 Years,42,288,8
1451,Very Special Old Fitzgerald 12yr (1994 Bourbon Heritage Collection),45.00,12 Years,176,152,3
1452,Laphroaig Lore,48.00,NAS,37,206,9
1453,The Balvenie 15yr Single Barrel Ex-Bourbon Cask,47.80,15 Years,227,21,9
1454,Very Special Old Fitzgerald 12yr 2016,45.00,NAS,28,152,3
1455,Smooth Ambler American Whiskey,49.50,NAS,228,288,1
1456,Oban 14yr,43.00,14 Years,45,240,9
1457,Glenfiddich 18yr,43.00,18 Years,24,135,9
1458,Glenfiddich 15yr Solera Vat,40.00,15 Years,24,135,9
1459,Bruichladdich Micro Provenance 2004 Ribera Del Duero Cask 007,63.60,NAS,8,50,9
1460,1792 Sweet Wheat,45.60,NAS,4,25,3
1461,Belle Meade XO Cognac Finished Bourbon,45.20,NAS,42,232,3
1462,Wild Turkey 13yr Export (Japan),45.50,13 Years,64,354,3
1463,The Balvenie 15yr Single Barrel Sherry Cask,47.80,15 Years,227,21,9
1464,Aberlour 18yr,43.00,18 Years,130,4,9
1465,Parkers Heritage Collection Release #6 – Blend of Mashbills 11yr Bourbon,65.80,11 Years,28,152,3
1466,Jack Daniel’s 150th Anniversary Edition,50.00,NAS,33,175,3
1467,Jack Daniel’s Rye,45.00,NAS,33,175,8
1468,Springbank 10yr Marrying Strength Distillery Exclusive,48.90,NAS,50,296,9
1469,High West Double Rye Black Muscat Finish,47.40,NAS,62,157,8
1470,Rare Malts St. Magdalene 1979-1998,63.80,NAS,229,269,9
1471,Smooth Ambler Old Scout 9yr Single Barrel Annapolis Whiskey Society Selection “Long Nine”,47.40,9 Years,42,288,3
1472,Smooth Ambler Old Scout 10yr Single Barrel Annapolis Whiskey Society Selection “Slandys Select”,58.70,10 Years,42,288,3
1473,Glendronach 18yr Tawny Port,46.00,NAS,77,133,9
1474,Springbank 20yr Rum Cask,54.20,20 Years,50,296,9
1475,Jim Beam Signature Series Rare Spanish Brandy,43.00,NAS,5,27,3
1476,Old Forester 86pf,43.00,NAS,74,48,3
1477,Laphroaig 10 Year,43.00,NAS,37,206,9
1478,Wild Turkey Rare Breed RB-03WT,54.10,NAS,64,354,3
1479,Laphroaig Cairdeas 2013 Port Wood,51.20,NAS,37,206,9
1480,Benriach Solstice 17yr Second Edition,50.00,17 Years,7,31,9
1481,Longrow Red 2010 Fresh Port,51.30,11 Years,50,296,9
1482,High West Rendezvous Rye Quady Port 2 Month Finish,50.20,NAS,62,157,8
1483,High West Rendezvous Rye Ex-Bourbon Barrel Finish,52.40,NAS,62,157,8
1484,High West American Prairie Quady Orange Muscat Finish,49.90,NAS,62,157,3
1485,Hepburn’s Choice Caol Ila 6yr Sherry,58.90,6 Years,153,154,9
1486,Old Fitzgerald Bottled in Bond – 1973 Stitzel Weller,50.00,NAS,176,52,3
1487,Islay Storm,40.00,NAS,60,345,9
1488,Old Fitzgerald Bottled in Bond 2001,50.00,NAS,230,152,3
1489,Aultmore 17yr Cadenheads 1997 Small Batch,54.10,17 Years,163,60,9
1490,Glenlivet 8yr Signatory Vintage 2006 First Fill Sherry Cask Strength,64.60,8 Years,26,283,9
1491,Old Charter 10,43.00,NAS,9,52,3
1492,Evan Williams Single Barrel 2004 Vintage Big Red Liquors Selection,43.30,NAS,28,152,3
1493,The Balvenie 10yr Founders Reserve,43.00,10 Years,227,21,9
1494,Macallan 18yr,43.00,NAS,39,215,9
1495,Longrow Red 11yr Australian Shiraz,53.70,11 Years,50,296,9
1496,Bunnahabhain 10yr Murray McDavid Port Cask,46.00,NAS,91,227,9
1497,Glen Scotia 15yr,46.00,15 Years,141,129,9
1498,Eagle Rare 10yr Charles St. Liquors Selection,45.00,10 Years,9,52,3
1499,Knob Creek Single Barrel Reserve Bourbon Schnapps Selection,60.00,9 Years,5,27,3
1500,Hochstadter’s Vatted Straight Rye Whiskey,50.00,NAS,62,161,8
1501,Larceny Bourbon,46.00,NAS,28,152,3
1502,Barrell Bourbon Batch 005,62.35,NAS,17,23,3
1503,Jim Beam White Label (1960),40.00,NAS,5,27,3
1504,Colonel E.H. Taylor Barrel Proof 127.5pf,63.75,NAS,9,52,3
1505,Angel’s Envy Rye,50.00,NAS,60,12,8
